                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90589,                 3.0415,                 1.3529,                0.00346,                      1,                0.31272,                0.22575,                0.45386,                 3.6748,                 1.1308,                 0.0883,                 0.0013,                 0.0013
                      1,                0.84249,                 2.8542,                 1.3425,                0.00339,                      1,                0.53516,                0.45088,                0.54202,                 3.5983,                 1.1709,               0.075522,              0.0025218,              0.0025218
                      2,                0.89013,                 2.5436,                 1.3719,                0.00338,                      1,                0.54066,                0.46328,                0.50877,                 3.3051,                 1.1169,               0.062559,              0.0035588,              0.0035588
                      3,                0.89129,                 2.3537,                 1.4347,                0.71654,                0.28042,                0.66221,                0.57611,                0.65347,                 3.0044,                 1.2722,               0.049411,               0.004411,               0.004411
                      4,                0.80404,                 2.0065,                 1.3566,                0.83858,                0.65967,                0.87014,                   0.68,                0.70969,                 2.9058,                 1.3062,               0.036078,              0.0050784,              0.0050784
                      5,                0.82962,                 2.4326,                 1.4435,                0.88083,                0.58737,                0.88132,                0.61314,                0.83105,                 2.9914,                 1.4749,               0.022561,               0.005561,               0.005561
                      6,                0.75971,                 2.4825,                 1.3867,                0.63239,                0.69211,                0.82013,                 0.6026,                0.86889,                 2.8621,                 1.6235,              0.0088588,              0.0058588,              0.0058588
                      7,                0.81604,                 2.2893,                 1.4002,                0.77373,                0.86667,                0.96167,                0.75272,                0.78545,                 2.6378,                 1.5861,                0.00538,                0.00538,                0.00538
                      8,                0.77741,                 2.2082,                 1.3665,                0.89757,                 0.7775,                0.92382,                0.71985,                0.87089,                 2.5077,                 1.5842,                0.00538,                0.00538,                0.00538
                      9,                0.75696,                 2.1932,                 1.3952,                0.90439,                0.89081,                0.97278,                0.84294,                0.65853,                  2.062,                 1.3012,                0.00472,                0.00472,                0.00472
                     10,                0.84335,                 2.0749,                  1.519,                0.91702,                0.92907,                0.97278,                 0.7644,                0.78684,                 2.1584,                   1.51,                0.00406,                0.00406,                0.00406
                     11,                0.70777,                 2.0847,                 1.2948,                0.83571,                0.90464,                 0.9569,                0.77334,                0.66817,                 2.1156,                 1.3425,                 0.0034,                 0.0034,                 0.0034
                     12,                0.72144,                 2.0028,                 1.3534,                0.96275,                 0.8466,                0.95095,                0.80517,                0.62613,                 2.2117,                 1.2326,                0.00274,                0.00274,                0.00274
                     13,                0.74727,                 2.0712,                 1.3788,                0.90201,                0.86667,                0.95151,                 0.7802,                0.69357,                 2.0245,                 1.2947,                0.00208,                0.00208,                0.00208
                     14,                0.72945,                 1.9476,                 1.3372,                0.74388,                0.99246,                0.92463,                0.74579,                0.69855,                 2.0276,                 1.2803,                0.00142,                0.00142,                0.00142
